nvar,r,d,prop_Hacker,prop_H1,het,iter,alpha,strategy,p1,p2,p3,p4,p5
2,0,0.1,0.2,0.1,0,1000,0.05,1,26.5625,20.3125,26.5625,9.375,17.1875
2,0,0.1,0.2,0.1,0,1000,0.05,2,26.5625,20.3125,26.5625,9.375,17.1875
2,0,0.1,0.2,0.1,0,1000,0.05,3,25,21.875,26.5625,9.375,17.1875
5,0,0.1,0.2,0.1,0,1000,0.05,1,25.3012048192771,18.0722891566265,19.2771084337349,20.4819277108434,16.8674698795181
5,0,0.1,0.2,0.1,0,1000,0.05,2,25.3012048192771,18.0722891566265,19.2771084337349,20.4819277108434,16.8674698795181
5,0,0.1,0.2,0.1,0,1000,0.05,3,25.3012048192771,16.8674698795181,19.2771084337349,21.6867469879518,16.8674698795181
10,0,0.1,0.2,0.1,0,1000,0.05,1,27.741935483871,19.3548387096774,16.7741935483871,18.7096774193548,17.4193548387097
10,0,0.1,0.2,0.1,0,1000,0.05,2,27.741935483871,19.3548387096774,16.7741935483871,18.7096774193548,17.4193548387097
10,0,0.1,0.2,0.1,0,1000,0.05,3,25.1612903225806,19.3548387096774,16.7741935483871,19.3548387096774,19.3548387096774
50,0,0.1,0.2,0.1,0,1000,0.05,1,39.8230088495575,22.5663716814159,14.6017699115044,16.3716814159292,6.63716814159292
50,0,0.1,0.2,0.1,0,1000,0.05,2,39.8230088495575,22.5663716814159,14.6017699115044,16.3716814159292,6.63716814159292
50,0,0.1,0.2,0.1,0,1000,0.05,3,23.0088495575221,16.3716814159292,22.5663716814159,23.0088495575221,15.0442477876106
2,0.3,0.1,0.2,0.1,0,1000,0.05,1,20,20,18.4615384615385,20,21.5384615384615
2,0.3,0.1,0.2,0.1,0,1000,0.05,2,20,20,18.4615384615385,20,21.5384615384615
2,0.3,0.1,0.2,0.1,0,1000,0.05,3,18.4615384615385,18.4615384615385,18.4615384615385,21.5384615384615,23.0769230769231
5,0.3,0.1,0.2,0.1,0,1000,0.05,1,25.8823529411765,18.8235294117647,18.8235294117647,14.1176470588235,22.3529411764706
5,0.3,0.1,0.2,0.1,0,1000,0.05,2,25.8823529411765,18.8235294117647,18.8235294117647,14.1176470588235,22.3529411764706
5,0.3,0.1,0.2,0.1,0,1000,0.05,3,21.1764705882353,17.6470588235294,21.1764705882353,17.6470588235294,22.3529411764706
10,0.3,0.1,0.2,0.1,0,1000,0.05,1,23.0088495575221,22.1238938053097,20.353982300885,15.0442477876106,19.4690265486726
10,0.3,0.1,0.2,0.1,0,1000,0.05,2,23.0088495575221,22.1238938053097,20.353982300885,15.0442477876106,19.4690265486726
10,0.3,0.1,0.2,0.1,0,1000,0.05,3,16.8141592920354,19.4690265486726,23.8938053097345,15.929203539823,23.8938053097345
50,0.3,0.1,0.2,0.1,0,1000,0.05,1,37.3134328358209,21.3930348258707,14.4278606965174,15.9203980099503,10.9452736318408
50,0.3,0.1,0.2,0.1,0,1000,0.05,2,37.3134328358209,21.3930348258707,14.4278606965174,15.9203980099503,10.9452736318408
50,0.3,0.1,0.2,0.1,0,1000,0.05,3,20.3980099502488,18.9054726368159,18.407960199005,23.8805970149254,18.407960199005
2,0.6,0.1,0.2,0.1,0,1000,0.05,1,19.672131147541,18.0327868852459,26.2295081967213,14.7540983606557,21.3114754098361
2,0.6,0.1,0.2,0.1,0,1000,0.05,2,19.672131147541,18.0327868852459,26.2295081967213,14.7540983606557,21.3114754098361
2,0.6,0.1,0.2,0.1,0,1000,0.05,3,19.672131147541,14.7540983606557,27.8688524590164,14.7540983606557,22.9508196721311
5,0.6,0.1,0.2,0.1,0,1000,0.05,1,27.536231884058,23.1884057971015,15.9420289855072,17.3913043478261,15.9420289855072
5,0.6,0.1,0.2,0.1,0,1000,0.05,2,27.536231884058,23.1884057971015,15.9420289855072,17.3913043478261,15.9420289855072
5,0.6,0.1,0.2,0.1,0,1000,0.05,3,26.0869565217391,18.8405797101449,18.8405797101449,20.2898550724638,15.9420289855072
10,0.6,0.1,0.2,0.1,0,1000,0.05,1,25,27.6315789473684,22.3684210526316,19.7368421052632,5.26315789473684
10,0.6,0.1,0.2,0.1,0,1000,0.05,2,25,27.6315789473684,22.3684210526316,19.7368421052632,5.26315789473684
10,0.6,0.1,0.2,0.1,0,1000,0.05,3,17.1052631578947,23.6842105263158,28.9473684210526,21.0526315789474,9.21052631578947
50,0.6,0.1,0.2,0.1,0,1000,0.05,1,25.1968503937008,18.8976377952756,18.8976377952756,15.748031496063,21.259842519685
50,0.6,0.1,0.2,0.1,0,1000,0.05,2,25.1968503937008,18.8976377952756,18.8976377952756,15.748031496063,21.259842519685
50,0.6,0.1,0.2,0.1,0,1000,0.05,3,11.0236220472441,18.1102362204724,19.6850393700787,20.4724409448819,30.7086614173228
2,0.9,0.1,0.2,0.1,0,1000,0.05,1,25.7575757575758,22.7272727272727,19.6969696969697,10.6060606060606,21.2121212121212
2,0.9,0.1,0.2,0.1,0,1000,0.05,2,25.7575757575758,22.7272727272727,19.6969696969697,10.6060606060606,21.2121212121212
2,0.9,0.1,0.2,0.1,0,1000,0.05,3,22.7272727272727,24.2424242424242,19.6969696969697,10.6060606060606,22.7272727272727
5,0.9,0.1,0.2,0.1,0,1000,0.05,1,21.1538461538462,19.2307692307692,23.0769230769231,25,11.5384615384615
5,0.9,0.1,0.2,0.1,0,1000,0.05,2,21.1538461538462,19.2307692307692,23.0769230769231,25,11.5384615384615
5,0.9,0.1,0.2,0.1,0,1000,0.05,3,19.2307692307692,17.3076923076923,26.9230769230769,25,11.5384615384615
10,0.9,0.1,0.2,0.1,0,1000,0.05,1,23.2142857142857,25,14.2857142857143,19.6428571428571,17.8571428571429
10,0.9,0.1,0.2,0.1,0,1000,0.05,2,23.2142857142857,25,14.2857142857143,19.6428571428571,17.8571428571429
10,0.9,0.1,0.2,0.1,0,1000,0.05,3,14.2857142857143,21.4285714285714,14.2857142857143,19.6428571428571,30.3571428571429
50,0.9,0.1,0.2,0.1,0,1000,0.05,1,26.7441860465116,25.5813953488372,13.953488372093,19.7674418604651,13.953488372093
50,0.9,0.1,0.2,0.1,0,1000,0.05,2,26.7441860465116,25.5813953488372,13.953488372093,19.7674418604651,13.953488372093
50,0.9,0.1,0.2,0.1,0,1000,0.05,3,12.7906976744186,22.093023255814,22.093023255814,20.9302325581395,22.093023255814
2,0,0.2,0.2,0.1,0,1000,0.05,1,25.6756756756757,14.8648648648649,27.027027027027,10.8108108108108,21.6216216216216
2,0,0.2,0.2,0.1,0,1000,0.05,2,25.6756756756757,14.8648648648649,27.027027027027,10.8108108108108,21.6216216216216
2,0,0.2,0.2,0.1,0,1000,0.05,3,25.6756756756757,14.8648648648649,27.027027027027,10.8108108108108,21.6216216216216
5,0,0.2,0.2,0.1,0,1000,0.05,1,27.4725274725275,18.6813186813187,17.5824175824176,17.5824175824176,18.6813186813187
5,0,0.2,0.2,0.1,0,1000,0.05,2,27.4725274725275,18.6813186813187,17.5824175824176,17.5824175824176,18.6813186813187
5,0,0.2,0.2,0.1,0,1000,0.05,3,26.3736263736264,18.6813186813187,16.4835164835165,18.6813186813187,19.7802197802198
10,0,0.2,0.2,0.1,0,1000,0.05,1,20.4225352112676,23.943661971831,14.7887323943662,16.1971830985916,24.6478873239437
10,0,0.2,0.2,0.1,0,1000,0.05,2,20.4225352112676,23.943661971831,14.7887323943662,16.1971830985916,24.6478873239437
10,0,0.2,0.2,0.1,0,1000,0.05,3,18.3098591549296,21.830985915493,13.3802816901408,16.1971830985916,30.2816901408451
50,0,0.2,0.2,0.1,0,1000,0.05,1,42.798353909465,25.9259259259259,13.9917695473251,11.9341563786008,5.34979423868313
50,0,0.2,0.2,0.1,0,1000,0.05,2,42.798353909465,25.9259259259259,13.9917695473251,11.9341563786008,5.34979423868313
50,0,0.2,0.2,0.1,0,1000,0.05,3,24.2798353909465,21.8106995884774,16.8724279835391,23.0452674897119,13.9917695473251
2,0.3,0.2,0.2,0.1,0,1000,0.05,1,26.4705882352941,17.6470588235294,17.6470588235294,29.4117647058824,8.82352941176471
2,0.3,0.2,0.2,0.1,0,1000,0.05,2,26.4705882352941,17.6470588235294,17.6470588235294,29.4117647058824,8.82352941176471
2,0.3,0.2,0.2,0.1,0,1000,0.05,3,26.4705882352941,17.6470588235294,17.6470588235294,29.4117647058824,8.82352941176471
5,0.3,0.2,0.2,0.1,0,1000,0.05,1,23.3009708737864,17.4757281553398,16.504854368932,23.3009708737864,19.4174757281553
5,0.3,0.2,0.2,0.1,0,1000,0.05,2,23.3009708737864,17.4757281553398,16.504854368932,23.3009708737864,19.4174757281553
5,0.3,0.2,0.2,0.1,0,1000,0.05,3,19.4174757281553,17.4757281553398,17.4757281553398,25.2427184466019,20.3883495145631
10,0.3,0.2,0.2,0.1,0,1000,0.05,1,29.1044776119403,20.1492537313433,18.6567164179105,16.4179104477612,15.6716417910448
10,0.3,0.2,0.2,0.1,0,1000,0.05,2,29.1044776119403,20.1492537313433,18.6567164179105,16.4179104477612,15.6716417910448
10,0.3,0.2,0.2,0.1,0,1000,0.05,3,22.3880597014925,20.8955223880597,18.6567164179105,17.1641791044776,20.8955223880597
50,0.3,0.2,0.2,0.1,0,1000,0.05,1,39.2857142857143,19.6428571428571,17.8571428571429,13.3928571428571,9.82142857142857
50,0.3,0.2,0.2,0.1,0,1000,0.05,2,39.2857142857143,19.6428571428571,17.8571428571429,13.3928571428571,9.82142857142857
50,0.3,0.2,0.2,0.1,0,1000,0.05,3,20.9821428571429,17.4107142857143,21.875,21.4285714285714,18.3035714285714
2,0.6,0.2,0.2,0.1,0,1000,0.05,1,29.8507462686567,11.9402985074627,16.4179104477612,23.8805970149254,17.910447761194
2,0.6,0.2,0.2,0.1,0,1000,0.05,2,29.8507462686567,11.9402985074627,16.4179104477612,23.8805970149254,17.910447761194
2,0.6,0.2,0.2,0.1,0,1000,0.05,3,26.865671641791,11.9402985074627,16.4179104477612,26.865671641791,17.910447761194
5,0.6,0.2,0.2,0.1,0,1000,0.05,1,20,23,17,16,24
5,0.6,0.2,0.2,0.1,0,1000,0.05,2,20,23,17,16,24
5,0.6,0.2,0.2,0.1,0,1000,0.05,3,15,22,17,20,26
10,0.6,0.2,0.2,0.1,0,1000,0.05,1,27.4193548387097,19.3548387096774,20.1612903225806,15.3225806451613,17.741935483871
10,0.6,0.2,0.2,0.1,0,1000,0.05,2,27.4193548387097,19.3548387096774,20.1612903225806,15.3225806451613,17.741935483871
10,0.6,0.2,0.2,0.1,0,1000,0.05,3,21.7741935483871,19.3548387096774,19.3548387096774,17.741935483871,21.7741935483871
50,0.6,0.2,0.2,0.1,0,1000,0.05,1,30.4878048780488,21.3414634146341,16.4634146341463,15.2439024390244,16.4634146341463
50,0.6,0.2,0.2,0.1,0,1000,0.05,2,30.4878048780488,21.3414634146341,16.4634146341463,15.2439024390244,16.4634146341463
50,0.6,0.2,0.2,0.1,0,1000,0.05,3,18.2926829268293,18.2926829268293,22.5609756097561,17.6829268292683,23.1707317073171
2,0.9,0.2,0.2,0.1,0,1000,0.05,1,34.1772151898734,13.9240506329114,18.9873417721519,21.5189873417722,11.3924050632911
2,0.9,0.2,0.2,0.1,0,1000,0.05,2,34.1772151898734,13.9240506329114,18.9873417721519,21.5189873417722,11.3924050632911
2,0.9,0.2,0.2,0.1,0,1000,0.05,3,31.6455696202532,13.9240506329114,18.9873417721519,21.5189873417722,13.9240506329114
5,0.9,0.2,0.2,0.1,0,1000,0.05,1,35.8695652173913,20.6521739130435,15.2173913043478,18.4782608695652,9.78260869565217
5,0.9,0.2,0.2,0.1,0,1000,0.05,2,35.8695652173913,20.6521739130435,15.2173913043478,18.4782608695652,9.78260869565217
5,0.9,0.2,0.2,0.1,0,1000,0.05,3,29.3478260869565,19.5652173913043,17.3913043478261,19.5652173913043,14.1304347826087
10,0.9,0.2,0.2,0.1,0,1000,0.05,1,31.1688311688312,25.974025974026,19.4805194805195,12.987012987013,10.3896103896104
10,0.9,0.2,0.2,0.1,0,1000,0.05,2,31.1688311688312,25.974025974026,19.4805194805195,12.987012987013,10.3896103896104
10,0.9,0.2,0.2,0.1,0,1000,0.05,3,24.6753246753247,24.6753246753247,19.4805194805195,15.5844155844156,15.5844155844156
50,0.9,0.2,0.2,0.1,0,1000,0.05,1,27.1739130434783,25,7.60869565217391,23.9130434782609,16.304347826087
50,0.9,0.2,0.2,0.1,0,1000,0.05,2,27.1739130434783,25,7.60869565217391,23.9130434782609,16.304347826087
50,0.9,0.2,0.2,0.1,0,1000,0.05,3,13.0434782608696,18.4782608695652,11.9565217391304,29.3478260869565,27.1739130434783
2,0,0.3,0.2,0.1,0,1000,0.05,1,35.5263157894737,15.7894736842105,15.7894736842105,14.4736842105263,18.4210526315789
2,0,0.3,0.2,0.1,0,1000,0.05,2,35.5263157894737,15.7894736842105,15.7894736842105,14.4736842105263,18.4210526315789
2,0,0.3,0.2,0.1,0,1000,0.05,3,34.2105263157895,15.7894736842105,17.1052631578947,14.4736842105263,18.4210526315789
5,0,0.3,0.2,0.1,0,1000,0.05,1,30.5084745762712,27.1186440677966,16.9491525423729,12.7118644067797,12.7118644067797
5,0,0.3,0.2,0.1,0,1000,0.05,2,30.5084745762712,27.1186440677966,16.9491525423729,12.7118644067797,12.7118644067797
5,0,0.3,0.2,0.1,0,1000,0.05,3,28.8135593220339,27.1186440677966,16.9491525423729,13.5593220338983,13.5593220338983
10,0,0.3,0.2,0.1,0,1000,0.05,1,29.2517006802721,19.0476190476191,19.0476190476191,17.687074829932,14.9659863945578
10,0,0.3,0.2,0.1,0,1000,0.05,2,29.2517006802721,19.0476190476191,19.0476190476191,17.687074829932,14.9659863945578
10,0,0.3,0.2,0.1,0,1000,0.05,3,25.1700680272109,18.3673469387755,19.0476190476191,21.0884353741497,16.3265306122449
50,0,0.3,0.2,0.1,0,1000,0.05,1,42.1487603305785,22.7272727272727,11.9834710743802,11.5702479338843,11.1570247933884
50,0,0.3,0.2,0.1,0,1000,0.05,2,42.1487603305785,22.7272727272727,11.9834710743802,11.5702479338843,11.1570247933884
50,0,0.3,0.2,0.1,0,1000,0.05,3,24.3801652892562,22.3140495867769,13.6363636363636,16.1157024793388,23.5537190082645
2,0.3,0.3,0.2,0.1,0,1000,0.05,1,30.4878048780488,21.9512195121951,14.6341463414634,20.7317073170732,12.1951219512195
2,0.3,0.3,0.2,0.1,0,1000,0.05,2,30.4878048780488,21.9512195121951,14.6341463414634,20.7317073170732,12.1951219512195
2,0.3,0.3,0.2,0.1,0,1000,0.05,3,30.4878048780488,21.9512195121951,14.6341463414634,19.5121951219512,13.4146341463415
5,0.3,0.3,0.2,0.1,0,1000,0.05,1,33.9805825242718,14.5631067961165,16.504854368932,16.504854368932,18.4466019417476
5,0.3,0.3,0.2,0.1,0,1000,0.05,2,33.9805825242718,14.5631067961165,16.504854368932,16.504854368932,18.4466019417476
5,0.3,0.3,0.2,0.1,0,1000,0.05,3,33.0097087378641,13.5922330097087,16.504854368932,18.4466019417476,18.4466019417476
10,0.3,0.3,0.2,0.1,0,1000,0.05,1,44.1860465116279,15.5038759689922,13.1782945736434,16.2790697674419,10.8527131782946
10,0.3,0.3,0.2,0.1,0,1000,0.05,2,44.1860465116279,15.5038759689922,13.1782945736434,16.2790697674419,10.8527131782946
10,0.3,0.3,0.2,0.1,0,1000,0.05,3,37.984496124031,15.5038759689922,17.0542635658915,17.8294573643411,11.6279069767442
50,0.3,0.3,0.2,0.1,0,1000,0.05,1,44.7963800904977,19.0045248868778,17.6470588235294,8.1447963800905,10.4072398190045
50,0.3,0.3,0.2,0.1,0,1000,0.05,2,44.7963800904977,19.0045248868778,17.6470588235294,8.1447963800905,10.4072398190045
50,0.3,0.3,0.2,0.1,0,1000,0.05,3,22.1719457013575,19.9095022624434,20.3619909502262,17.6470588235294,19.9095022624434
