prop_Hacker,prop_H1,nmin,nmax,stepsize,d,het,p1,p2,p3,p4,p5,k_sig,k
0.1,0,8,22,1,0,0,0.158478605388273,0.19175911251981,0.202852614896989,0.204437400950872,0.242472266244057,631,10000
0.25,0,8,22,1,0,0,0.120300751879699,0.147869674185464,0.218045112781955,0.229323308270677,0.284461152882206,798,10000
0.5,0,8,22,1,0,0,0.0924528301886792,0.116037735849057,0.188679245283019,0.264150943396226,0.338679245283019,1060,10000
0.75,0,8,22,1,0,0,0.0747169811320755,0.109433962264151,0.169056603773585,0.282264150943396,0.364528301886792,1325,10000
1,0,8,22,1,0,0,0.0608150470219436,0.0915360501567398,0.176175548589342,0.278996865203762,0.392476489028213,1595,10000
0.1,0,8,50,1,0,0,0.13623595505618,0.133426966292135,0.169943820224719,0.245786516853933,0.314606741573034,712,10000
0.25,0,8,50,1,0,0,0.11144578313253,0.123493975903614,0.173694779116466,0.238955823293173,0.352409638554217,996,10000
0.5,0,8,50,1,0,0,0.0764912280701755,0.0842105263157895,0.16280701754386,0.258947368421053,0.417543859649123,1425,10000
0.75,0,8,50,1,0,0,0.0540827147401909,0.0758218451749735,0.150583244962884,0.282078472958643,0.437433722163309,1886,10000
1,0,8,50,1,0,0,0.0412064570943076,0.062446898895497,0.14570943075616,0.28589634664401,0.464740866610026,2354,10000
0.1,0,22,50,1,0,0,0.152920962199313,0.163230240549828,0.180412371134021,0.221649484536082,0.281786941580756,582,10000
0.25,0,22,50,1,0,0,0.138780804150454,0.114137483787289,0.159533073929961,0.217898832684825,0.369649805447471,771,10000
0.5,0,22,50,1,0,0,0.0975124378109453,0.100497512437811,0.153233830845771,0.219900497512438,0.428855721393035,1005,10000
0.75,0,22,50,1,0,0,0.0868192580899763,0.079715864246251,0.134964483030781,0.239147592738753,0.459352801894238,1267,10000
1,0,22,50,1,0,0,0.0673202614379085,0.0633986928104575,0.124183006535948,0.254248366013072,0.490849673202614,1530,10000
0.1,0,8,177,1,0,0,0.114427860696517,0.141791044776119,0.151741293532338,0.227611940298507,0.364427860696517,804,10000
0.25,0,8,177,1,0,0,0.0843373493975904,0.0987951807228916,0.142971887550201,0.219277108433735,0.454618473895582,1245,10000
0.5,0,8,177,1,0,0,0.0448588709677419,0.0670362903225806,0.124495967741935,0.236391129032258,0.527217741935484,1984,10000
0.75,0,8,177,1,0,0,0.0390136179609864,0.0500552079499448,0.107103422892897,0.244755244755245,0.559072506440928,2717,10000
1,0,8,177,1,0,0,0.0281404119524224,0.0426457789382071,0.101537568900493,0.245720916739193,0.581955323469684,3447,10000
0.1,0,22,177,1,0,0,0.15363511659808,0.138545953360768,0.123456790123457,0.216735253772291,0.367626886145405,729,10000
0.25,0,22,177,1,0,0,0.0951061865189289,0.0941828254847645,0.109879963065559,0.204062788550323,0.496768236380425,1083,10000
0.5,0,22,177,1,0,0,0.06,0.065625,0.08625,0.2025,0.585625,1600,10000
0.75,0,22,177,1,0,0,0.0468242929995364,0.0468242929995364,0.0792767732962448,0.207232267037552,0.61984237366713,2157,10000
1,0,22,177,1,0,0,0.0374954495813615,0.0353112486348744,0.0728066982162359,0.209319257371678,0.64506734619585,2747,10000
0.1,0,50,177,1,0,0,0.153846153846154,0.141779788838612,0.125188536953243,0.200603318250377,0.378582202111614,663,10000
0.25,0,50,177,1,0,0,0.110021786492375,0.107843137254902,0.106753812636166,0.194989106753813,0.480392156862745,918,10000
0.5,0,50,177,1,0,0,0.0703902065799541,0.0726855394032135,0.0841622035195103,0.179035960214231,0.593726090283091,1307,10000
0.75,0,50,177,1,0,0,0.0530393325387366,0.064958283671037,0.0542312276519666,0.1746126340882,0.65315852205006,1678,10000
1,0,50,177,1,0,0,0.0450878025628856,0.0503084954912197,0.0484100616990982,0.170859041290935,0.685334598955862,2107,10000
0.1,0,8,444,1,0,0,0.103720405862458,0.130777903043968,0.156708004509583,0.204058624577227,0.404735062006764,887,10000
0.25,0,8,444,1,0,0,0.0611384399156711,0.0815179198875615,0.140548137737175,0.191848208011244,0.524947294448349,1423,10000
0.5,0,8,444,1,0,0,0.0501930501930502,0.0579150579150579,0.104676104676105,0.202917202917203,0.584298584298584,2331,10000
0.75,0,8,444,1,0,0,0.0313567215150574,0.0453275380316672,0.0906550760633344,0.212977336230984,0.619683328158957,3221,10000
1,0,8,444,1,0,0,0.0234866828087167,0.0355932203389831,0.0847457627118644,0.212348668280872,0.643825665859564,4130,10000
