nvar,r,d,prop_Hacker,prop_H1,het,iter,alpha,strategy,p1,p2,p3,p4,p5,k_sig,k
1,0,0.1,0,0.1,0,10000,0.05,1,0.242201834862385,0.201834862385321,0.201834862385321,0.192660550458716,0.161467889908257,545,10000
1,0,0.1,0,0.1,0,10000,0.05,2,0.242201834862385,0.201834862385321,0.201834862385321,0.192660550458716,0.161467889908257,545,10000
1,0,0.1,0,0.1,0,10000,0.05,3,0.242201834862385,0.201834862385321,0.201834862385321,0.192660550458716,0.161467889908257,545,10000
1,0,0.2,0,0.1,0,10000,0.05,1,0.254290171606864,0.193447737909516,0.179407176287052,0.176287051482059,0.196567862714509,641,10000
1,0,0.2,0,0.1,0,10000,0.05,2,0.254290171606864,0.193447737909516,0.179407176287052,0.176287051482059,0.196567862714509,641,10000
1,0,0.2,0,0.1,0,10000,0.05,3,0.254290171606864,0.193447737909516,0.179407176287052,0.176287051482059,0.196567862714509,641,10000
1,0,0.3,0,0.1,0,10000,0.05,1,0.361643835616438,0.180821917808219,0.152054794520548,0.163013698630137,0.142465753424658,730,10000
1,0,0.3,0,0.1,0,10000,0.05,2,0.361643835616438,0.180821917808219,0.152054794520548,0.163013698630137,0.142465753424658,730,10000
1,0,0.3,0,0.1,0,10000,0.05,3,0.361643835616438,0.180821917808219,0.152054794520548,0.163013698630137,0.142465753424658,730,10000
1,0,0.4,0,0.1,0,10000,0.05,1,0.372065727699531,0.163145539906103,0.150234741784038,0.157276995305164,0.157276995305164,852,10000
1,0,0.4,0,0.1,0,10000,0.05,2,0.372065727699531,0.163145539906103,0.150234741784038,0.157276995305164,0.157276995305164,852,10000
1,0,0.4,0,0.1,0,10000,0.05,3,0.372065727699531,0.163145539906103,0.150234741784038,0.157276995305164,0.157276995305164,852,10000
1,0,0.5,0,0.1,0,10000,0.05,1,0.469545957918051,0.153931339977852,0.145071982281285,0.121816168327796,0.109634551495017,903,10000
1,0,0.5,0,0.1,0,10000,0.05,2,0.469545957918051,0.153931339977852,0.145071982281285,0.121816168327796,0.109634551495017,903,10000
1,0,0.5,0,0.1,0,10000,0.05,3,0.469545957918051,0.153931339977852,0.145071982281285,0.121816168327796,0.109634551495017,903,10000
1,0,0.6,0,0.1,0,10000,0.05,1,0.513018322082932,0.151398264223722,0.137897782063645,0.100289296046287,0.0973963355834137,1037,10000
1,0,0.6,0,0.1,0,10000,0.05,2,0.513018322082932,0.151398264223722,0.137897782063645,0.100289296046287,0.0973963355834137,1037,10000
1,0,0.6,0,0.1,0,10000,0.05,3,0.513018322082932,0.151398264223722,0.137897782063645,0.100289296046287,0.0973963355834137,1037,10000
1,0,0.7,0,0.1,0,10000,0.05,1,0.537433155080214,0.127450980392157,0.103386809269162,0.125668449197861,0.106060606060606,1122,10000
