nvar,r,d,prop_Hacker,prop_H1,het,iter,alpha,strategy,p1,p2,p3,p4,p5,k_sig,k
2,0,0,0.1,0,0,10000,0.05,1,0.206834532374101,0.170863309352518,0.232014388489209,0.197841726618705,0.192446043165468,556,10000
2,0,0,0.1,0,0,10000,0.05,2,0.206834532374101,0.170863309352518,0.232014388489209,0.197841726618705,0.192446043165468,556,10000
2,0,0,0.1,0,0,10000,0.05,3,0.206834532374101,0.169064748201439,0.232014388489209,0.199640287769784,0.192446043165468,556,10000
5,0,0,0.1,0,0,10000,0.05,1,0.211567732115677,0.197869101978691,0.216133942161339,0.199391171993912,0.175038051750381,657,10000
5,0,0,0.1,0,0,10000,0.05,2,0.211567732115677,0.197869101978691,0.216133942161339,0.199391171993912,0.175038051750381,657,10000
5,0,0,0.1,0,0,10000,0.05,3,0.207001522070015,0.19482496194825,0.211567732115677,0.205479452054795,0.181126331811263,657,10000
10,0,0,0.1,0,0,10000,0.05,1,0.276722090261283,0.17458432304038,0.19833729216152,0.190023752969121,0.160332541567696,842,10000
10,0,0,0.1,0,0,10000,0.05,2,0.276722090261283,0.17458432304038,0.19833729216152,0.190023752969121,0.160332541567696,842,10000
10,0,0,0.1,0,0,10000,0.05,3,0.248218527315915,0.171021377672209,0.205463182897862,0.197149643705463,0.178147268408551,842,10000
30,0,0,0.1,0,0,10000,0.05,1,0.291533546325879,0.235623003194888,0.184504792332268,0.14776357827476,0.140575079872204,1252,10000
30,0,0,0.1,0,0,10000,0.05,2,0.291533546325879,0.235623003194888,0.184504792332268,0.14776357827476,0.140575079872204,1252,10000
30,0,0,0.1,0,0,10000,0.05,3,0.203674121405751,0.218849840255591,0.19408945686901,0.186102236421725,0.197284345047923,1252,10000
70,0,0,0.1,0,0,10000,0.05,1,0.412011173184358,0.263268156424581,0.143156424581006,0.10195530726257,0.079608938547486,1432,10000
70,0,0,0.1,0,0,10000,0.05,2,0.412011173184358,0.263268156424581,0.143156424581006,0.10195530726257,0.079608938547486,1432,10000
70,0,0,0.1,0,0,10000,0.05,3,0.216480446927374,0.207402234636872,0.19622905027933,0.184357541899441,0.195530726256983,1432,10000
150,0,0,0.1,0,0,10000,0.05,1,0.5960219478738,0.181755829903978,0.0912208504801097,0.0761316872427984,0.0548696844993141,1458,10000
150,0,0,0.1,0,0,10000,0.05,2,0.5960219478738,0.181755829903978,0.0912208504801097,0.0761316872427984,0.0548696844993141,1458,10000
150,0,0,0.1,0,0,10000,0.05,3,0.201646090534979,0.181755829903978,0.207818930041152,0.209190672153635,0.199588477366255,1458,10000
2,0.3,0,0.1,0,0,10000,0.05,1,0.211009174311927,0.172477064220184,0.214678899082569,0.220183486238532,0.181651376146789,545,10000
2,0.3,0,0.1,0,0,10000,0.05,2,0.211009174311927,0.172477064220184,0.214678899082569,0.220183486238532,0.181651376146789,545,10000
2,0.3,0,0.1,0,0,10000,0.05,3,0.211009174311927,0.172477064220184,0.214678899082569,0.220183486238532,0.181651376146789,545,10000
5,0.3,0,0.1,0,0,10000,0.05,1,0.219135802469136,0.195987654320988,0.146604938271605,0.243827160493827,0.194444444444444,648,10000
5,0.3,0,0.1,0,0,10000,0.05,2,0.219135802469136,0.195987654320988,0.146604938271605,0.243827160493827,0.194444444444444,648,10000
5,0.3,0,0.1,0,0,10000,0.05,3,0.21141975308642,0.195987654320988,0.146604938271605,0.248456790123457,0.197530864197531,648,10000
10,0.3,0,0.1,0,0,10000,0.05,1,0.245024875621891,0.194029850746269,0.201492537313433,0.172885572139303,0.186567164179104,804,10000
10,0.3,0,0.1,0,0,10000,0.05,2,0.245024875621891,0.194029850746269,0.201492537313433,0.172885572139303,0.186567164179104,804,10000
10,0.3,0,0.1,0,0,10000,0.05,3,0.212686567164179,0.189054726368159,0.203980099502488,0.187810945273632,0.206467661691542,804,10000
30,0.3,0,0.1,0,0,10000,0.05,1,0.266550522648084,0.202090592334495,0.215156794425087,0.165505226480836,0.150696864111498,1148,10000
30,0.3,0,0.1,0,0,10000,0.05,2,0.266550522648084,0.202090592334495,0.215156794425087,0.165505226480836,0.150696864111498,1148,10000
30,0.3,0,0.1,0,0,10000,0.05,3,0.178571428571429,0.18205574912892,0.222996515679443,0.202090592334495,0.214285714285714,1148,10000
70,0.3,0,0.1,0,0,10000,0.05,1,0.369029275808937,0.230354391371341,0.154853620955316,0.13251155624037,0.113251155624037,1298,10000
70,0.3,0,0.1,0,0,10000,0.05,2,0.369029275808937,0.230354391371341,0.154853620955316,0.13251155624037,0.113251155624037,1298,10000
70,0.3,0,0.1,0,0,10000,0.05,3,0.178736517719569,0.196456086286595,0.180277349768875,0.209553158705701,0.23497688751926,1298,10000
150,0.3,0,0.1,0,0,10000,0.05,1,0.459162663006177,0.207275223061084,0.144818119423473,0.10706932052162,0.0816746739876458,1457,10000
150,0.3,0,0.1,0,0,10000,0.05,2,0.459162663006177,0.207275223061084,0.144818119423473,0.10706932052162,0.0816746739876458,1457,10000
150,0.3,0,0.1,0,0,10000,0.05,3,0.164722031571723,0.210706932052162,0.200411805078929,0.20178448867536,0.222374742621826,1457,10000
2,0.6,0,0.1,0,0,10000,0.05,1,0.200772200772201,0.183397683397683,0.202702702702703,0.191119691119691,0.222007722007722,518,10000
2,0.6,0,0.1,0,0,10000,0.05,2,0.200772200772201,0.183397683397683,0.202702702702703,0.191119691119691,0.222007722007722,518,10000
2,0.6,0,0.1,0,0,10000,0.05,3,0.193050193050193,0.183397683397683,0.202702702702703,0.194980694980695,0.225868725868726,518,10000
5,0.6,0,0.1,0,0,10000,0.05,1,0.202265372168285,0.213592233009709,0.177993527508091,0.186084142394822,0.220064724919094,618,10000
5,0.6,0,0.1,0,0,10000,0.05,2,0.202265372168285,0.213592233009709,0.177993527508091,0.186084142394822,0.220064724919094,618,10000
5,0.6,0,0.1,0,0,10000,0.05,3,0.182847896440129,0.215210355987055,0.179611650485437,0.189320388349515,0.233009708737864,618,10000
10,0.6,0,0.1,0,0,10000,0.05,1,0.247761194029851,0.185074626865672,0.195522388059701,0.192537313432836,0.17910447761194,670,10000
10,0.6,0,0.1,0,0,10000,0.05,2,0.247761194029851,0.185074626865672,0.195522388059701,0.192537313432836,0.17910447761194,670,10000
10,0.6,0,0.1,0,0,10000,0.05,3,0.182089552238806,0.195522388059701,0.222388059701493,0.202985074626866,0.197014925373134,670,10000
30,0.6,0,0.1,0,0,10000,0.05,1,0.249134948096886,0.221453287197232,0.192618223760092,0.152249134948097,0.184544405997693,867,10000
30,0.6,0,0.1,0,0,10000,0.05,2,0.249134948096886,0.221453287197232,0.192618223760092,0.152249134948097,0.184544405997693,867,10000
30,0.6,0,0.1,0,0,10000,0.05,3,0.163783160322953,0.193771626297578,0.196078431372549,0.192618223760092,0.253748558246828,867,10000
70,0.6,0,0.1,0,0,10000,0.05,1,0.290196078431373,0.21078431372549,0.187254901960784,0.154901960784314,0.156862745098039,1020,10000
70,0.6,0,0.1,0,0,10000,0.05,2,0.290196078431373,0.21078431372549,0.187254901960784,0.154901960784314,0.156862745098039,1020,10000
70,0.6,0,0.1,0,0,10000,0.05,3,0.138235294117647,0.190196078431373,0.217647058823529,0.213725490196078,0.240196078431373,1020,10000
