nvar,r,d,het,iter,alpha,strategy,p1,p2,p3,p4,p5
1,0,0,0,10000,0.05,1,20.3056768558952,19.6506550218341,21.6157205240175,19.6506550218341,18.7772925764192
1,0,0,0,10000,0.05,2,20.3056768558952,19.6506550218341,21.6157205240175,19.6506550218341,18.7772925764192
1,0,0,0,10000,0.05,3,20.3056768558952,19.6506550218341,21.6157205240175,19.6506550218341,18.7772925764192
19,0,0,0,10000,0.05,1,28.1194796852417,22.2418500080295,20.2665810181468,15.7218564316685,13.6502328569134
19,0,0,0,10000,0.05,2,28.1194796852417,22.2418500080295,20.2665810181468,15.7218564316685,13.6502328569134
19,0,0,0,10000,0.05,3,20.3468765055404,19.1906214870724,19.9453990685723,19.9614581660511,20.5556447727638
199,0,0,0,10000,0.05,1,86.3386338633863,12.0812081208121,1.37013701370137,0.2000200020002,0.01000100010001
199,0,0,0,10000,0.05,2,86.3386338633863,12.0812081208121,1.37013701370137,0.2000200020002,0.01000100010001
199,0,0,0,10000,0.05,3,19.9219921992199,19.8419841984198,19.8019801980198,19.7919791979198,20.6420642064206
199,0.9,0,0,10000,0.05,1,30.1763803680982,20.590490797546,17.3312883435583,17.7530674846626,14.148773006135
199,0.9,0,0,10000,0.05,2,30.1763803680982,20.590490797546,17.3312883435583,17.7530674846626,14.148773006135
199,0.9,0,0,10000,0.05,3,4.52453987730061,8.81901840490798,15.7592024539877,28.3742331288344,42.5230061349693
1,0.1,0,0,10000,0.05,1,20.7650273224044,19.1256830601093,23.3151183970856,16.7577413479053,20.0364298724954
1,0.1,0,0,10000,0.05,2,20.7650273224044,19.1256830601093,23.3151183970856,16.7577413479053,20.0364298724954
1,0.1,0,0,10000,0.05,3,20.7650273224044,19.1256830601093,23.3151183970856,16.7577413479053,20.0364298724954
3,0.1,0,0,10000,0.05,1,20.2816901408451,21.2676056338028,20.4929577464789,20.2816901408451,17.6760563380282
3,0.1,0,0,10000,0.05,2,20.2816901408451,21.2676056338028,20.4929577464789,20.2816901408451,17.6760563380282
3,0.1,0,0,10000,0.05,3,19.2957746478873,20.5633802816901,20.4225352112676,20.9154929577465,18.8028169014085
5,0.1,0,0,10000,0.05,1,22.7592267135325,20.2108963093146,20.1669595782074,19.2003514938489,17.6625659050967
5,0.1,0,0,10000,0.05,2,22.7592267135325,20.2108963093146,20.1669595782074,19.2003514938489,17.6625659050967
5,0.1,0,0,10000,0.05,3,20.518453427065,19.1564147627417,20.5623901581722,19.9033391915641,19.8594024604569
7,0.1,0,0,10000,0.05,1,22.7481919789612,21.4661406969099,21.0716633793557,17.6528599605523,17.0611439842209
7,0.1,0,0,10000,0.05,2,22.7481919789612,21.4661406969099,21.0716633793557,17.6528599605523,17.0611439842209
7,0.1,0,0,10000,0.05,3,19.7567389875082,20.2827087442472,21.0716633793557,19.0992767915845,19.7896120973044
9,0.1,0,0,10000,0.05,1,23.0748225013654,22.3375204806117,18.8967777170945,18.9787001638449,16.7121791370836
9,0.1,0,0,10000,0.05,2,23.0748225013654,22.3375204806117,18.8967777170945,18.9787001638449,16.7121791370836
9,0.1,0,0,10000,0.05,3,19.6613872200983,21.0813762971054,19.197160021846,20.2348443473512,19.8252321135991
11,0.1,0,0,10000,0.05,1,23.1693231693232,22.5225225225225,19.4040194040194,18.2721182721183,16.6320166320166
11,0.1,0,0,10000,0.05,2,23.1693231693232,22.5225225225225,19.4040194040194,18.2721182721183,16.6320166320166
11,0.1,0,0,10000,0.05,3,19.1730191730192,20.2356202356202,19.3347193347193,20.5128205128205,20.7438207438207
13,0.1,0,0,10000,0.05,1,24.4052676295667,22.4723874256585,19.7960917587086,18.2880203908241,15.0382327952421
13,0.1,0,0,10000,0.05,2,24.4052676295667,22.4723874256585,19.7960917587086,18.2880203908241,15.0382327952421
13,0.1,0,0,10000,0.05,3,19.392523364486,20.3483432455395,19.6474086661003,21.2829226847918,19.3288020390824
15,0.1,0,0,10000,0.05,1,25.042654028436,23.1658767772512,19.9810426540284,16.303317535545,15.5071090047393
15,0.1,0,0,10000,0.05,2,25.042654028436,23.1658767772512,19.9810426540284,16.303317535545,15.5071090047393
15,0.1,0,0,10000,0.05,3,18.9004739336493,20.4739336492891,20.0947867298578,19.7535545023697,20.7772511848341
17,0.1,0,0,10000,0.05,1,27.4244553759663,23.5945186226283,18.0955727336613,17.6387912860155,13.2466619817287
17,0.1,0,0,10000,0.05,2,27.4244553759663,23.5945186226283,18.0955727336613,17.6387912860155,13.2466619817287
17,0.1,0,0,10000,0.05,3,19.9402670414617,20.6605762473647,18.9388615600843,21.2579058327477,19.2023893183415
21,0,0,0,10000,0.05,1,29.3938470910752,23.4846177276881,18.8547060615291,15.4736521474261,12.7931769722815
21,0,0,0,10000,0.05,2,29.3938470910752,23.4846177276881,18.8547060615291,15.4736521474261,12.7931769722815
21,0,0,0,10000,0.05,3,20.5452330185806,19.6771245811758,20.0121839780688,19.8598842522083,19.9055741699665
19,0.1,0,0,10000,0.05,1,27.6217384078444,22.6524846268905,19.2953298986206,16.037892637527,14.3925544291175
19,0.1,0,0,10000,0.05,2,27.6217384078444,22.6524846268905,19.2953298986206,16.037892637527,14.3925544291175
19,0.1,0,0,10000,0.05,3,19.2953298986206,19.2620907428951,19.7440585009141,20.0265913245804,21.6719295329899
21,0.1,0,0,10000,0.05,1,29.4803982576229,22.9153702551338,19.0416925948973,15.8991910392035,12.6633478531425
21,0.1,0,0,10000,0.05,2,29.4803982576229,22.9153702551338,19.0416925948973,15.8991910392035,12.6633478531425
21,0.1,0,0,10000,0.05,3,19.8662103298071,19.150591163659,20.2862476664592,20.3640323584319,20.3329184816428
23,0.1,0,0,10000,0.05,1,29.8835323603125,22.9397021966681,19.4899012236474,15.6420462922011,12.0448179271709
23,0.1,0,0,10000,0.05,2,29.8835323603125,22.9397021966681,19.4899012236474,15.6420462922011,12.0448179271709
23,0.1,0,0,10000,0.05,3,20.1828099660917,19.312988353236,19.6225858764558,20.5513784461153,20.3302373581011
25,0.1,0,0,10000,0.05,1,31.3418079096045,24.4774011299435,18.2344632768362,14.8870056497175,11.0593220338983
25,0.1,0,0,10000,0.05,2,31.3418079096045,24.4774011299435,18.2344632768362,14.8870056497175,11.0593220338983
25,0.1,0,0,10000,0.05,3,19.816384180791,20.6779661016949,19.180790960452,20.7627118644068,19.5621468926554
27,0.1,0,0,10000,0.05,1,31.5145684442001,24.890049477735,18.1143485431556,14.2798240791644,11.2012094557449
27,0.1,0,0,10000,0.05,2,31.5145684442001,24.890049477735,18.1143485431556,14.2798240791644,11.2012094557449
27,0.1,0,0,10000,0.05,3,19.4612424409016,20.9180868609126,19.4749862561847,20.2034084661902,19.9422759758109
29,0.1,0,0,10000,0.05,1,32.7940591433497,24.2408168677894,18.3397427396897,13.3271449409893,11.2982363081819
29,0.1,0,0,10000,0.05,2,32.7940591433497,24.2408168677894,18.3397427396897,13.3271449409893,11.2982363081819
29,0.1,0,0,10000,0.05,3,19.1619148654025,20.4216947354462,19.9177827874287,19.8514785837422,20.6471290279804
31,0.1,0,0,10000,0.05,1,33.2049801052496,24.2459247850083,18.0336285457579,13.7209600821461,10.794506481838
31,0.1,0,0,10000,0.05,2,33.2049801052496,24.2459247850083,18.0336285457579,13.7209600821461,10.794506481838
31,0.1,0,0,10000,0.05,3,19.6123732511873,19.5738672827622,19.9589269670132,20.472339879348,20.3824926196894
33,0.1,0,0,10000,0.05,1,34.2345725372387,24.9468018525473,18.4754036800601,12.6173488546752,9.72587307547878
33,0.1,0,0,10000,0.05,2,34.2345725372387,24.9468018525473,18.4754036800601,12.6173488546752,9.72587307547878
33,0.1,0,0,10000,0.05,3,19.6019526849418,20.6659156339967,19.4141945174615,19.7646764300914,20.5532607335086
35,0.1,0,0,10000,0.05,1,35.6458459672529,24.9605821710127,17.4651303820497,12.7592480291085,9.16919345057611
35,0.1,0,0,10000,0.05,2,35.6458459672529,24.9605821710127,17.4651303820497,12.7592480291085,9.16919345057611
35,0.1,0,0,10000,0.05,3,19.7938144329897,20.6670709520922,19.6604002425713,19.6361431170406,20.2425712553062
37,0.1,0,0,10000,0.05,1,35.8504049547403,25.8932825154836,17.1391138637446,12.2439256788947,8.87327298713673
37,0.1,0,0,10000,0.05,2,35.8504049547403,25.8932825154836,17.1391138637446,12.2439256788947,8.87327298713673
37,0.1,0,0,10000,0.05,3,18.8661267270129,20.2834683182468,20.0690805145307,20.2834683182468,20.4978561219628
23,0,0,0,10000,0.05,1,29.8978102189781,24.4817518248175,18.9343065693431,14.9489051094891,11.7372262773723
23,0,0,0,10000,0.05,2,29.8978102189781,24.4817518248175,18.9343065693431,14.9489051094891,11.7372262773723
23,0,0,0,10000,0.05,3,19.5182481751825,20.6861313868613,20.4379562043796,19.956204379562,19.4014598540146
39,0.1,0,0,10000,0.05,1,37.0239774330042,25.1763046544429,17.0192759755524,12.5058768218148,8.27456511518571
39,0.1,0,0,10000,0.05,2,37.0239774330042,25.1763046544429,17.0192759755524,12.5058768218148,8.27456511518571
39,0.1,0,0,10000,0.05,3,19.1466854724965,19.8283968030089,20.2280206864128,20.6981664315938,20.098730606488
41,0.1,0,0,10000,0.05,1,38.5585796051863,25.2073355916365,17.0774442238056,11.9845812405093,7.17205933886228
41,0.1,0,0,10000,0.05,2,38.5585796051863,25.2073355916365,17.0774442238056,11.9845812405093,7.17205933886228
41,0.1,0,0,10000,0.05,3,20.4882607172059,19.2851302417942,20.0093447027216,21.130709029319,19.0865553089592
43,0.1,0,0,10000,0.05,1,38.7837062535858,25.7601835915089,16.9477911646586,11.2220309810671,7.28628800917958
43,0.1,0,0,10000,0.05,2,38.7837062535858,25.7601835915089,16.9477911646586,11.2220309810671,7.28628800917958
43,0.1,0,0,10000,0.05,3,19.219736087206,20.504876649455,20.1032702237522,20.0229489386116,20.1491681009753
45,0.1,0,0,10000,0.05,1,39.8979013045944,25.8536585365854,16.3811684628474,10.9132161089053,6.9540555870675
45,0.1,0,0,10000,0.05,2,39.8979013045944,25.8536585365854,16.3811684628474,10.9132161089053,6.9540555870675
45,0.1,0,0,10000,0.05,3,19.6483267158253,20.0113442994895,19.9886557005105,20.1020986954056,20.2495745887691
47,0.1,0,0,10000,0.05,1,40.2319558608265,25.9092444544533,16.3495101902939,10.6969935818039,6.81229591262245
47,0.1,0,0,10000,0.05,2,40.2319558608265,25.9092444544533,16.3495101902939,10.6969935818039,6.81229591262245
47,0.1,0,0,10000,0.05,3,19.536088278347,19.6374282175431,20.0653079608152,20.4368877378674,20.3242878054273
49,0.1,0,0,10000,0.05,1,41.6057585825028,25.5260243632337,16.3012181616833,10.0332225913621,6.53377630121816
49,0.1,0,0,10000,0.05,2,41.6057585825028,25.5260243632337,16.3012181616833,10.0332225913621,6.53377630121816
49,0.1,0,0,10000,0.05,3,18.6600221483942,20.0332225913621,19.9889258028793,20.0885935769657,21.2292358803987
51,0.1,0,0,10000,0.05,1,42.4909230938497,26.3395313015733,15.1391792276378,9.8910771261965,6.13928925074266
51,0.1,0,0,10000,0.05,2,42.4909230938497,26.3395313015733,15.1391792276378,9.8910771261965,6.13928925074266
51,0.1,0,0,10000,0.05,3,19.1000110023105,20.6623390912092,19.2650456595885,20.7943668170316,20.1782374298603
53,0.1,0,0,10000,0.05,1,42.9642507877866,25.8719982614365,15.9947843094643,9.58383135933935,5.58513528197327
53,0.1,0,0,10000,0.05,2,42.9642507877866,25.8719982614365,15.9947843094643,9.58383135933935,5.58513528197327
53,0.1,0,0,10000,0.05,3,19.5588395088558,19.7652939258937,20.7323698793872,19.7978919917418,20.1456046941215
55,0.1,0,0,10000,0.05,1,44.12241808154,25.3271331242565,15.5618038282686,9.5274142965286,5.46123066940629
55,0.1,0,0,10000,0.05,2,44.12241808154,25.3271331242565,15.5618038282686,9.5274142965286,5.46123066940629
55,0.1,0,0,10000,0.05,3,19.1305288201579,19.541472910133,20.0605601816805,20.8716340434736,20.395804044555
57,0.1,0,0,10000,0.05,1,44.8764769065521,26.1331901181525,15.4564983888292,8.1203007518797,5.41353383458647
