"","nvar","r","d","het","iter","alpha","strategy","p1","p2","p3","p4","p5"
"1",2,0,0,0,5000,0.05,1,23.5059760956175,20.1195219123506,18.5258964143426,18.1274900398406,19.7211155378486
"2",2,0,0,0,5000,0.05,2,23.5059760956175,20.1195219123506,18.5258964143426,18.1274900398406,19.7211155378486
"3",2,0,0,0,5000,0.05,3,23.1075697211155,19.7211155378486,18.3266932270916,18.7250996015936,20.1195219123506
"4",50,0,0,0,5000,0.05,1,41.9452887537994,26.530612244898,16.0660008684325,9.8349978289188,5.62310030395137
"5",50,0,0,0,5000,0.05,2,41.9452887537994,26.530612244898,16.0660008684325,9.8349978289188,5.62310030395137
"6",50,0,0,0,5000,0.05,3,19.7134172818063,19.93052540165,20.0173686495875,20.1476335214937,20.1910551454624
"7",200,0,0,0,5000,0.05,1,86.56,11.76,1.48,0.2,0
"8",200,0,0,0,5000,0.05,2,86.56,11.76,1.48,0.2,0
"9",200,0,0,0,5000,0.05,3,19.92,21.4,18.6,20.14,19.94
"10",2,0.5,0,0,5000,0.05,1,17.353579175705,20.824295010846,18.4381778741866,20.3904555314534,22.9934924078091
"11",2,0.5,0,0,5000,0.05,2,17.353579175705,20.824295010846,18.4381778741866,20.3904555314534,22.9934924078091
"12",2,0.5,0,0,5000,0.05,3,15.4013015184382,21.0412147505423,18.2212581344902,21.0412147505423,24.295010845987
"13",50,0.5,0,0,5000,0.05,1,34.1648247552889,22.3239658983265,18.0296810862015,13.3880644142722,12.093463845911
"14",50,0.5,0,0,5000,0.05,2,34.1648247552889,22.3239658983265,18.0296810862015,13.3880644142722,12.093463845911
"15",50,0.5,0,0,5000,0.05,3,12.3460688348595,18.2191348279128,21.9134827912851,22.7344490053679,24.7868645405747
"16",200,0.5,0,0,5000,0.05,1,46.6563672478482,22.7764290443611,13.7497241227102,9.60052968439638,7.21694990068418
"17",200,0.5,0,0,5000,0.05,2,46.6563672478482,22.7764290443611,13.7497241227102,9.60052968439638,7.21694990068418
"18",200,0.5,0,0,5000,0.05,3,11.1895828735378,17.8327080114765,20.7680423747517,24.3875524166851,25.8221143235489
